Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,SL,TP,Pips,Result,Confidence,AI_Reasoning,RAG_Context,Graph_Context
2026-04-22 09:35:00,2026-04-22 09:55:00,LONG,4758.46,4752.46,4752.46,4770.46,-600.0,LOSS,78,"SAFEPATH detected (64.3% win rate) in London Open with bullish 1H trend (+5.44 pts) and moderate volatility (2.82 pts), despite mixed RAG outcomes (1 strong continuation, 1 chop).",--- MATCH #1 (Distance: 0.0023) --- | PAST TAPE: [09:40 UTC] Session: London Open | 1H Trend: Bullish (+4.49 pts) | Volatility: 5.21 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+17.44 pts) |  | --- MATCH #2 (Distance: 0.0026) --- | PAST TAPE: [09:15 UTC] Session: London Open | 1H Trend: Bullish (+5.31 pts) | Volatility: 4.49 pts | ACTUAL OUTCOME: CHOP / CONSOLIDATION,⚪ NEUTRAL PATH: London_Open | Trend_Following | Medium_SL (49.1% Win Rate) | ⚪ NEUTRAL PATH: London_Open | Trend_Following | Tight_SL (42.4% Win Rate) | 🟢 SAFEPATH DETECTED: London_Open | Trend_Following | Wide_SL (64.3% Win Rate)
2026-04-22 10:05:00,2026-04-22 10:10:00,LONG,4748.24,4746.24,4746.24,4752.24,-200.0,LOSS,78,"SAFEPATH detected with 60% win rate in London Open breakouts, despite RAG showing mixed outcomes (1 strong bullish continuation vs. 1 chop), volatility aligns with historical precedents.",--- MATCH #1 (Distance: 0.0028) --- | PAST TAPE: [10:05 UTC] Session: London Open | 1H Trend: Bearish (-4.45 pts) | Volatility: 4.80 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+6.25 pts) |  | --- MATCH #2 (Distance: 0.0029) --- | PAST TAPE: [09:05 UTC] Session: London Open | 1H Trend: Bearish (-12.10 pts) | Volatility: 6.90 pts | ACTUAL OUTCOME: CHOP / CONSOLIDATION,⚪ NEUTRAL PATH: London_Open | Breakout | Medium_SL (54.5% Win Rate) | ⚪ NEUTRAL PATH: London_Open | Breakout | Wide_SL (55.7% Win Rate) | 🟢 SAFEPATH DETECTED: London_Open | Breakout | Tight_SL (60.0% Win Rate)
2026-04-22 16:10:00,2026-04-22 16:30:00,LONG,4729.88,4723.88,4723.88,4741.88,-600.0,LOSS,92,"Historical precedents show strong bullish continuations in identical NY_London_Overlap breakout setups with rising DXY, and the topological graph confirms an 89.7% win-rate SAFEPATH with Wide_SL.",--- MATCH #1 (Distance: -0.0000) --- | PAST TAPE: [16:10 UTC] Session: NY London Overlap | 1H Trend: Bearish (-7.32 pts) | DXY is Rising | Volatility: 4.68 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+5.23 pts) |  | --- MATCH #2 (Distance: 0.0017) --- | PAST TAPE: [16:40 UTC] Session: NY London Overlap | 1H Trend: Bearish (-6.22 pts) | DXY is Rising | Volatility: 4.36 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+8.45 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Medium_SL (48.7% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Tight_SL (58.7% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Breakout | Wide_SL (89.7% Win Rate)
2026-04-23 09:10:00,2026-04-23 09:15:00,LONG,4696.64,4700.64,4694.64,4700.64,400.0,WIN,88,"Historical precedents show strong bullish continuations from London Open breakouts with bearish 1H trends, and the topological graph confirms a high-win-rate SAFEPATH with Tight_SL.",--- MATCH #1 (Distance: 0.0020) --- | PAST TAPE: [09:25 UTC] Session: London Open | 1H Trend: Bearish (-8.21 pts) | Volatility: 4.20 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+10.68 pts) |  | --- MATCH #2 (Distance: 0.0024) --- | PAST TAPE: [09:45 UTC] Session: London Open | 1H Trend: Bearish (-21.86 pts) | Volatility: 7.54 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+43.13 pts),⚪ NEUTRAL PATH: London_Open | Breakout | Medium_SL (54.5% Win Rate) | ⚪ NEUTRAL PATH: London_Open | Breakout | Wide_SL (55.7% Win Rate) | 🟢 SAFEPATH DETECTED: London_Open | Breakout | Tight_SL (60.0% Win Rate)
2026-04-23 11:25:00,2026-04-23 11:50:00,LONG,4698.74,4710.74,4692.74,4710.74,1200.0,WIN,78,"SAFEPATH detected with 64.3% win rate in London Open bullish trend, despite mixed RAG outcomes (1 strong continuation vs. 1 reversal), and no regime bans apply.",--- MATCH #1 (Distance: 0.0029) --- | PAST TAPE: [11:25 UTC] Session: London Open | 1H Trend: Bullish (+8.42 pts) | Volatility: 4.93 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+17.56 pts) |  | --- MATCH #2 (Distance: 0.0042) --- | PAST TAPE: [11:35 UTC] Session: London Open | 1H Trend: Bullish (+8.95 pts) | Volatility: 3.48 pts | ACTUAL OUTCOME: STRONG BEARISH REVERSAL (-25.79 pts),⚪ NEUTRAL PATH: London_Open | Trend_Following | Medium_SL (49.1% Win Rate) | ⚪ NEUTRAL PATH: London_Open | Trend_Following | Tight_SL (42.4% Win Rate) | 🟢 SAFEPATH DETECTED: London_Open | Trend_Following | Wide_SL (64.3% Win Rate)
2026-04-23 15:50:00,2026-04-23 16:35:00,LONG,4717.22,4729.22,4711.22,4729.22,1200.0,WIN,82,"SAFEPATH detected (89.7% win rate) with NY_London_Overlap breakout alignment, despite mixed RAG outcomes favoring bullish continuation when DXY rises in bearish 1H trend.",--- MATCH #1 (Distance: 0.0014) --- | PAST TAPE: [14:50 UTC] Session: NY London Overlap | 1H Trend: Bearish (-17.85 pts) | DXY is Rising | Volatility: 11.30 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+16.52 pts) |  | --- MATCH #2 (Distance: 0.0014) --- | PAST TAPE: [14:05 UTC] Session: NY London Overlap | 1H Trend: Bearish (-18.50 pts) | DXY is Rising | Volatility: 15.69 pts | ACTUAL OUTCOME: STRONG BEARISH REVERSAL (-5.76 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Medium_SL (48.7% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Tight_SL (58.7% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Breakout | Wide_SL (89.7% Win Rate)
2026-04-23 16:55:00,2026-04-23 17:00:00,LONG,4732.61,4728.61,4728.61,4740.61,-400.0,LOSS,88,"Strong RAG precedent for bullish continuation in NY_London_Overlap with rising DXY and high volatility, combined with a SAFEPATH (60% win rate) for Trend_Following.",--- MATCH #1 (Distance: 0.0025) --- | PAST TAPE: [16:40 UTC] Session: NY London Overlap | 1H Trend: Bullish (+4.14 pts) | DXY is Rising | Volatility: 4.38 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+9.94 pts) |  | --- MATCH #2 (Distance: 0.0029) --- | PAST TAPE: [16:55 UTC] Session: NY London Overlap | 1H Trend: Bullish (+6.45 pts) | DXY is Rising | Volatility: 2.90 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+5.66 pts),⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Tight_SL (46.3% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Trend_Following | Wide_SL (50.8% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Trend_Following | Medium_SL (60.0% Win Rate)
2026-04-24 09:10:00,2026-04-24 09:20:00,LONG,4694.89,4688.89,4688.89,4706.89,-600.0,LOSS,72,"SAFEPATH detected with 64.3% win rate, but RAG context shows chop/consolidation precedent, requiring conservative risk allocation.",--- MATCH #1 (Distance: 0.0026) --- | PAST TAPE: [07:10 UTC] Session: London Open | 1H Trend: Bullish (+7.39 pts) | Volatility: 4.78 pts | ACTUAL OUTCOME: CHOP / CONSOLIDATION |  | --- MATCH #2 (Distance: 0.0035) --- | PAST TAPE: [07:10 UTC] Session: London Open | 1H Trend: Bullish (+10.71 pts) | Volatility: 4.74 pts | ACTUAL OUTCOME: CHOP / CONSOLIDATION,⚪ NEUTRAL PATH: London_Open | Trend_Following | Medium_SL (49.1% Win Rate) | ⚪ NEUTRAL PATH: London_Open | Trend_Following | Tight_SL (42.4% Win Rate) | 🟢 SAFEPATH DETECTED: London_Open | Trend_Following | Wide_SL (64.3% Win Rate)
2026-04-24 10:35:00,2026-04-24 11:00:00,LONG,4676.97,4680.97,4674.97,4680.97,400.0,WIN,87,"Historical precedents show strong bullish continuations from London Open breakouts in bearish 1H trends with similar volatility, and the topological graph confirms a high-win-rate SAFEPATH with Tight_SL.",--- MATCH #1 (Distance: 0.0014) --- | PAST TAPE: [10:15 UTC] Session: London Open | 1H Trend: Bearish (-1.97 pts) | Volatility: 4.57 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+5.51 pts) |  | --- MATCH #2 (Distance: 0.0020) --- | PAST TAPE: [10:25 UTC] Session: London Open | 1H Trend: Bearish (-4.35 pts) | Volatility: 3.68 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+8.42 pts),⚪ NEUTRAL PATH: London_Open | Breakout | Medium_SL (54.5% Win Rate) | ⚪ NEUTRAL PATH: London_Open | Breakout | Wide_SL (55.7% Win Rate) | 🟢 SAFEPATH DETECTED: London_Open | Breakout | Tight_SL (60.0% Win Rate)
2026-04-24 13:25:00,2026-04-24 13:30:00,LONG,4696.16,4690.16,4690.16,4708.16,-600.0,LOSS,82,"SAFEPATH detected (89.7% win rate) with NY_London_Overlap breakouts showing strong bullish continuation in RAG despite chop/consolidation precedent, validated by rising DXY and bearish 1H trend as a reversal catalyst.",--- MATCH #1 (Distance: 0.0007) --- | PAST TAPE: [13:25 UTC] Session: NY London Overlap | 1H Trend: Bearish (-6.35 pts) | DXY is Rising | Volatility: 8.87 pts | ACTUAL OUTCOME: STRONG BULLISH CONTINUATION (+6.13 pts) |  | --- MATCH #2 (Distance: 0.0009) --- | PAST TAPE: [13:30 UTC] Session: NY London Overlap | 1H Trend: Bearish (-4.54 pts) | DXY is Rising | Volatility: 8.51 pts | ACTUAL OUTCOME: CHOP / CONSOLIDATION,⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Medium_SL (48.7% Win Rate) | ⚪ NEUTRAL PATH: NY_London_Overlap | Breakout | Tight_SL (58.7% Win Rate) | 🟢 SAFEPATH DETECTED: NY_London_Overlap | Breakout | Wide_SL (89.7% Win Rate)
